TIMESTAMP,LOCATION_ID,EARNED_POINTS,REDEEM_POINTS
2021-01-01,A-1001,26208,33377
2021-01-01,A-1002,21826,28812
2021-01-01,A-1003,28890,20209
2021-01-01,A-1004,23272,30617
2021-01-01,A-1005,23997,28285
2021-01-01,A-1006,26812,33534
2021-01-01,A-1007,34539,29419
2021-01-01,A-1008,24885,29440
2021-01-02,A-1001,28950,34435
2021-01-02,A-1002,26874,29739
2021-01-02,A-1003,34380,30008
2021-01-02,A-1004,33620,29857
2021-01-02,A-1005,27154,30781
2021-01-02,A-1006,25531,32980
2021-01-02,A-1007,27647,25660
2021-01-02,A-1008,20521,28098
2021-01-03,A-1001,23875,27669
2021-01-03,A-1002,28179,30477
2021-01-03,A-1003,31885,20182
2021-01-03,A-1004,31817,26880
2021-01-03,A-1005,33043,22138
2021-01-03,A-1006,20706,21070
2021-01-03,A-1007,24143,30872
2021-01-03,A-1008,23896,30261
2021-01-04,A-1001,26056,20628
2021-01-04,A-1002,31308,32520
2021-01-04,A-1003,29829,26822
2021-01-04,A-1004,20709,29896
2021-01-04,A-1005,31242,20711
2021-01-04,A-1006,21929,33108
2021-01-04,A-1007,33451,29114
2021-01-04,A-1008,32763,33223
2021-01-05,A-1001,25897,27220
2021-01-05,A-1002,26067,26700
2021-01-05,A-1003,33420,30680
2021-01-05,A-1004,23607,22491
2021-01-05,A-1005,23268,31022
2021-01-05,A-1006,20471,24527
2021-01-05,A-1007,31375,20014
2021-01-05,A-1008,23817,28928
2021-01-06,A-1001,32006,34265
2021-01-06,A-1002,27111,26166
2021-01-06,A-1003,34076,25478
2021-01-06,A-1004,26514,27825
2021-01-06,A-1005,23189,29853
2021-01-06,A-1006,30014,24707
2021-01-06,A-1007,20679,30907
2021-01-06,A-1008,31846,23151
2021-01-07,A-1001,34666,23684
2021-01-07,A-1002,34165,28831
2021-01-07,A-1003,20416,27418
2021-01-07,A-1004,31315,24344
2021-01-07,A-1005,32749,33624
2021-01-07,A-1006,27862,34555
2021-01-07,A-1007,27501,28200
2021-01-07,A-1008,27879,25623
2021-01-08,A-1001,21621,32459
2021-01-08,A-1002,32695,31113
2021-01-08,A-1003,31061,24406
2021-01-08,A-1004,34169,23728
2021-01-08,A-1005,20144,30900
2021-01-08,A-1006,33536,29601
2021-01-08,A-1007,30835,31035
2021-01-08,A-1008,30178,22389
2021-01-09,A-1001,34246,26560
2021-01-09,A-1002,31490,28472
2021-01-09,A-1003,22642,33570
2021-01-09,A-1004,27286,28930
2021-01-09,A-1005,20151,25227
2021-01-09,A-1006,26901,33347
2021-01-09,A-1007,32682,26886
2021-01-09,A-1008,30890,25341
2021-01-10,A-1001,23833,33252
2021-01-10,A-1002,21416,32385
2021-01-10,A-1003,21682,25422
2021-01-10,A-1004,25763,23943
2021-01-10,A-1005,30175,34291
2021-01-10,A-1006,25022,27951
2021-01-10,A-1007,31237,33640
2021-01-10,A-1008,31600,25148
2021-01-11,A-1001,20808,20672
2021-01-11,A-1002,23996,23008
2021-01-11,A-1003,30741,26963
2021-01-11,A-1004,20486,31187
2021-01-11,A-1005,20093,25302
2021-01-11,A-1006,25493,26628
2021-01-11,A-1007,29896,33838
2021-01-11,A-1008,28946,23721
2021-01-12,A-1001,29412,31120
2021-01-12,A-1002,20993,24444
2021-01-12,A-1003,20533,32770
2021-01-12,A-1004,32915,24002
2021-01-12,A-1005,20783,32101
2021-01-12,A-1006,32742,31841
2021-01-12,A-1007,21351,24332
2021-01-12,A-1008,29140,34165
2021-01-13,A-1001,31938,28081
2021-01-13,A-1002,32207,24003
2021-01-13,A-1003,30841,34437
2021-01-13,A-1004,27601,32851
2021-01-13,A-1005,21975,28499
2021-01-13,A-1006,32353,29824
2021-01-13,A-1007,26152,34421
2021-01-13,A-1008,24388,27070
2021-01-14,A-1001,33910,24389
2021-01-14,A-1002,26207,34382
2021-01-14,A-1003,27337,25608
2021-01-14,A-1004,22814,32293
2021-01-14,A-1005,23337,29536
2021-01-14,A-1006,21688,29106
2021-01-14,A-1007,33711,30053
2021-01-14,A-1008,25419,29226
2021-01-15,A-1001,31138,29361
2021-01-15,A-1002,30864,22881
2021-01-15,A-1003,34001,25193
2021-01-15,A-1004,23249,20000
2021-01-15,A-1005,32559,22244
2021-01-15,A-1006,20647,29297
2021-01-15,A-1007,28519,34345
2021-01-15,A-1008,21824,29356
2021-01-16,A-1001,32545,24080
2021-01-16,A-1002,33806,22202
2021-01-16,A-1003,28534,24397
2021-01-16,A-1004,25213,27048
2021-01-16,A-1005,28092,27105
2021-01-16,A-1006,27024,33855
2021-01-16,A-1007,22720,21789
2021-01-16,A-1008,25582,32476
2021-01-17,A-1001,24761,33366
2021-01-17,A-1002,34551,24427
2021-01-17,A-1003,28704,34120
2021-01-17,A-1004,33452,21482
2021-01-17,A-1005,33196,25711
2021-01-17,A-1006,21205,23385
2021-01-17,A-1007,23514,28237
2021-01-17,A-1008,25475,20959
2021-01-18,A-1001,32875,32237
2021-01-18,A-1002,28534,34691
2021-01-18,A-1003,32854,27518
2021-01-18,A-1004,21554,20537
2021-01-18,A-1005,24934,27424
2021-01-18,A-1006,23381,21110
2021-01-18,A-1007,27568,28034
2021-01-18,A-1008,34827,30918
2021-01-19,A-1001,32979,22297
2021-01-19,A-1002,27923,26798
2021-01-19,A-1003,21863,27126
2021-01-19,A-1004,24244,23316
2021-01-19,A-1005,34337,25603
2021-01-19,A-1006,20038,28708
2021-01-19,A-1007,28297,24882
2021-01-19,A-1008,23737,20634
2021-01-20,A-1001,26131,26395
2021-01-20,A-1002,20361,33308
2021-01-20,A-1003,26764,20670
2021-01-20,A-1004,23369,20593
2021-01-20,A-1005,30999,20495
2021-01-20,A-1006,27512,24516
2021-01-20,A-1007,28592,29169
2021-01-20,A-1008,24676,21683
2021-01-21,A-1001,23626,34703
2021-01-21,A-1002,29666,23287
2021-01-21,A-1003,23872,30404
2021-01-21,A-1004,20185,31157
2021-01-21,A-1005,22830,34301
2021-01-21,A-1006,28731,25706
2021-01-21,A-1007,20185,34071
2021-01-21,A-1008,30690,22767
2021-01-22,A-1001,31073,29468
2021-01-22,A-1002,33653,30660
2021-01-22,A-1003,23466,25732
2021-01-22,A-1004,25899,21335
2021-01-22,A-1005,32636,21674
2021-01-22,A-1006,22377,31954
2021-01-22,A-1007,29367,27055
2021-01-22,A-1008,33551,21345
2021-01-23,A-1001,23072,22050
2021-01-23,A-1002,31831,29091
2021-01-23,A-1003,21076,24644
2021-01-23,A-1004,31150,24124
2021-01-23,A-1005,24885,22350
2021-01-23,A-1006,32858,22196
2021-01-23,A-1007,32552,32467
2021-01-23,A-1008,33538,27300
2021-01-24,A-1001,33474,27916
2021-01-24,A-1002,31286,20560
2021-01-24,A-1003,31898,23311
2021-01-24,A-1004,29760,30854
2021-01-24,A-1005,22163,21552
2021-01-24,A-1006,29709,24353
2021-01-24,A-1007,30803,20868
2021-01-24,A-1008,20309,20473
2021-01-25,A-1001,22055,26765
2021-01-25,A-1002,29452,21006
2021-01-25,A-1003,33429,24069
2021-01-25,A-1004,30303,25758
2021-01-25,A-1005,24014,22202
2021-01-25,A-1006,29115,34428
2021-01-25,A-1007,21783,33077
2021-01-25,A-1008,34934,25439
2021-01-26,A-1001,24330,25706
2021-01-26,A-1002,34261,25510
2021-01-26,A-1003,22330,31660
2021-01-26,A-1004,29292,26989
2021-01-26,A-1005,33726,32536
2021-01-26,A-1006,30489,24361
2021-01-26,A-1007,26426,22920
2021-01-26,A-1008,29253,31641
2021-01-27,A-1001,22505,34684
2021-01-27,A-1002,25258,29363
2021-01-27,A-1003,29976,28902
2021-01-27,A-1004,24218,33189
2021-01-27,A-1005,34541,27615
